"question","answer","category"
"How much time does it take to open a Salary account?","It takes only 3 minutes to complete all the steps to open a Salary account.",Salary Account
"Can I change my already existing salary account? How?","Create a new account on the app, submit your new bank account details with your HR to receive further salaries in that account and turn yourself into a Salary Account user",Salary Account
"Are there any charges for opening a Salary account?","Opening a Salary Account on Jupiter is completely free. There are also no charges for UPI, NEFT, and RTGS transactions.",Salary Account
"What is Mini-Loan?","By opening a Salary account, you can instantly withdraw your partial salary before salary day with no interest charges.",Salary Account
"I'm a non-salaried individual. How do I upgrade to Salary account?","Keep an eye out – we'll bring the benefits of Salary account to freelancers & other non-salaried individuals soon.",Salary Account
"Which documents are required for opening a Salary account?","Your Aadhaar card linked with your phone number and PAN card are required to open a Salary account.",Salary Account
"How much does the Corporate Salary Account cost?","It's completely free.",Corporate Salary Account
"What if my company already has salary accounts for employees with another bank?","If you have an existing account with another bank, you can continue using it for business banking. You can still use Jupiter Corporate Salary Account for your employees with discounted medical insurance, 0% interest loans, 0 forex fees, and more. Ultimately, you get the best of both worlds.",Corporate Salary Account
"Is my employee's money safe?","It is 100% safe. Jupiter Corporate Salary Account is hosted in an RBI-licensed bank (Federal Bank) and the money in the account is insured up to ₹5,00,000.",Corporate Salary Account
"Does my company need a minimum number of employees?","We support companies of all sizes. From 2-person businesses to organizations that have over 1000 employees.",Corporate Salary Account
"What is the benefit for my company?","Jupiter Corporate Salary Account helps you save up to ₹50,00,000 yearly by cutting down on HRMS costs, payroll software costs and health insurance costs. You can streamline payout processes with our bulk salary payout portal. Your employees can also get loans at 0% interest, and invest in Mutual Funds and Digital Gold on Jupiter.",Corporate Salary Account
"Which documents are needed for opening a Salary Account?","Your employees need to have the following to open a Jupiter Corporate Salary Account: Physical PAN card, A smart phone, Mobile number linked to Aadhar card, PAN & Aadhaar should be linked.",Corporate Salary Account
"What is the initial deposit when you open a Salary Account?","No initial deposit is required to open a Salary Account.",Corporate Salary Account
"Do we need to shift our Current Account to Jupiter?","Absolutely not, your existing relationship with banker is mostly for Business Banking. You shall continue enjoying benefits provided by your existing banker (for business banking) + enjoy additional benefits from Jupiter against your employee's bank account. You get to enjoy the best of both worlds.",Corporate Salary Account
"Do employees need to maintain any minimum balance?","While users are required to maintain ₹5,000 as the average monthly balance, charges up to ₹200 for not maintaining of balance. However for Salary Account users, the account is a zero balance account on consistent salary credits.",Corporate Salary Account
"Is it a Federal bank account or Jupiter account?","A Federal Bank account is created for each employee. They can use the Jupiter app to pay, invest or save money without any restrictions.",Corporate Salary Account
"Can the employee continue with the Jupiter salary account even if he leaves the present company?","Your employees can continue using the same Salary Account with their new employer and keep enjoying our benefits.",Corporate Salary Account
"If any employee has an active loan with their current bank, can they still use the Jupiter Corporate Salary Account?","They can continue paying their loan with their existing bank. Jupiter's Autopay feature lets them auto-transfer any amount from their Jupiter account to their existing bank, ensuring their loan payments continue seamlessly.",Corporate Salary Account
"What payment methods does Jupiter support?","You can make payments via UPI, your linked bank account, and debit cards. You can also link any bank's RuPay Credit Card to Jupiter UPI and make payments.",Payments
"Is it safe to make payments through Jupiter?","Yes. Jupiter uses industry-standard encryption and is compliant with RBI regulations to ensure secure and private transactions.",Payments
"Can I pay my bills using Jupiter?","Yes, you can pay utility bills like electricity, gas, DTH, water, and mobile recharges directly from the app.",Payments
"Can I link multiple bank accounts to Jupiter?","Yes, you can link more than one bank account and switch between them when making UPI payments.",Payments
"Can I track my payments on Jupiter?","Yes, you can track all your payments, see your top spending categories, and get actionable insights to better manage your money.",Payments
"How do I earn cashback or rewards on payments?","If you have a PRO Savings Account, you earn 1% cashback on all Debit Card payments and UPI payments from 7 top brands. If you have linked any RuPay Credit Card to Jupiter UPI, you earn up to 2% cashback on every payment. Cashback is credited in the form of Jewels. 5 Jewels = ₹1",Payments
"Are there any charges for UPI transactions?","No, UPI payments are free of charge on Jupiter.",Payments
"Is there a transaction limit for UPI payments?","Yes, the daily UPI limit is set by your bank and NPCI, which is generally ₹1 Lakh per day.",Payments
"What types of bills can I pay on Jupiter?","You can pay your credit card bills, electricity, DTH, broadband, water, gas, mobile prepaid, and more—all in one place.",Bill Payments
"What payment modes can I use to pay bills on Jupiter?","You can pay bills through bank transfers linked to your Federal Bank Savings Account, UPI, or your RuPay Credit Cards.",Bill Payments
"Do I get rewards for bill payments?","Yes! You earn Jewels for every eligible bill and recharge made with Jupiter.",Bill Payments
"What are Jewels and how do they work?","Jewels are credits you earn when you make eligible payments with Jupiter. You can redeem them in cash for instant discounts on future bill payments.\n₹1= 5 Points*\n*As per the rewards policy",Bill Payments
"How do I activate Autopay?","To set up Autopay for bills & recharges, use your Jupiter UPI ID as a default payment method on the respective merchant app or website.",Bill Payments
"Do I need to upload any documents or enter bill details manually each time?","No paperwork needed! Just link your billing merchant once, and your dues automatically in the future.",Bill Payments
"Can I track my past payments?","Yes, your entire payment history is available under the 'Bills & Recharges' section in the app.",Bill Payments
"What type of payments can I make with Jupiter UPI?","You can send money, pay contacts, scan QR codes at stores, and shop online—securely and instantly.",UPI Payments
"Do I need to open a Jupiter Savings Account to use UPI?","No, you can use Jupiter UPI with your existing bank account by linking it on the Jupiter app.",UPI Payments
"What rewards do I get with my Edge CSB Bank RuPay Credit Card?","You can get 2% cashback on UPI & credit card spends with the Edge CSB Bank RuPay Credit Card.",UPI Payments
"Can I send money to contacts using other UPI apps?","Absolutely. Jupiter lets you send money to anyone—regardless of the UPI app they use.",UPI Payments
"What is UPI Lite and how does it work?","UPI Lite lets you make small-value payments without entering your UPI PIN (Up to ₹5,000). It's perfect for quick spends like groceries or tea.",UPI Payments
"Is there a limit on UPI transactions?","To ensure safety of your transactions, NPCI has set the maximum daily UPI payments limit to ₹1 Lakh.",UPI Payments
"What is Magic Spends and how does it work?","Magic Spends is an exclusive feature on Jupiter to automatically invest every time you spend. You can select any amount, set a monthly limit, and invest in either Mutual Funds or Digital Gold with every UPI, Debit Card, and Credit Card payment.",Magic Spends
"Where can I invest with Magic Spends?","You can invest in a Mutual Fund of your choice or 24K Digital Gold every time you spend.",Magic Spends
"Can I customize how much money I auto-invest every time I spend?","Yes, you can auto-invest ₹10 or more in Digital Gold or ₹100 or more in Mutual Funds every time you spend with Magic Spends.",Magic Spends
"Can I track my invested amount with Magic Spends?","Yes, you can track the value of your invested amount in real-time for both Mutual Funds and Digital Gold.",Magic Spends
"What happens if I don't have enough balance in my account?","If you don't have enough balance while spending, Magic Spends will be skipped. You can continue auto-investing after you add money to your account.",Magic Spends
"Can I pause Magic Spends or withdraw my invested amount?","Yes, you can pause Magic Spends anytime through the app. You can also withdraw the money you've invested and it will be credited instantly to your account.",Magic Spends
"Are there any fees or charges for Magic Spends?","No, Magic Spends is completely free to set up and Jupiter does not charge any commissions.",Magic Spends
"How can I apply for the Edge+ CSB Bank RuPay Credit Card?","You can check your eligibility and credit limit for the credit card instantly. To apply for the card, download the Jupiter app and complete your application anytime. It's 100% digital with no paperwork!",Edge+ Credit Card
"What's the maximum cashback I can earn with Edge+?","There is no maximum limit of cashback which can be earned with Edge+, there are limits on accelerated cashback for categories.",Edge+ Credit Card
"What is the maximum cashback I can earn for each category?","The maximum cashback applicable under each category is: 10% cashback - ₹1,500 per billing cycle (merchant limit of ₹500); 5% cashback - ₹1,000 per billing cycle; 1% cashback - No Limit",Edge+ Credit Card
"How is cashback credited?","The cashback amount is credited to your account instantly in the form of Jewels. 5 Jewels = ₹1 and you can redeem Jewels as cash, gift cards, Digital Gold, and for bill payments.",Edge+ Credit Card
"Which brands does Edge+ offer cashback on?","10% cashback on shopping: Amazon, Flipkart, Myntra, Ajio, Zara, Nykaa, Croma, Reliance Trends, Tata Cliq, Reliance Digital; 5% cashback on travel: MakeMyTrip, EaseMyTrip, Yatra, Cleartrip; 1% cashback: On all other offline & online eligible spends. Brand names are indicative and subject to change.",Edge+ Credit Card
"Are there any fees for the Edge+ card?","There is only a one-time joining fee of ₹499+GST for the card. You also get a Fraud Protection Plan by OneAssist which includes an Amazon Prime Membership worth ₹1499. The card is lifetime free with no annual fee.",Edge+ Credit Card
"How can I start using UPI on my RuPay Credit Card?","Install the Jupiter app and apply for the Edge CSB Bank RuPay Credit Card. Fill in the necessary details. Once approved, you can start using the card to make UPI payments on your RuPay Credit Card.",UPI on RuPay Credit Card
"How to use the Edge CSB Bank RuPay Credit Card for UPI payments?","You can enable online transactions on your Edge RuPay Credit Card to use it on any website or app.",UPI on RuPay Credit Card
"Can I send money to friends using a Credit Card on UPI?","No, you can only use the Edge CSB Bank RuPay Credit Card to pay online and offline merchants.",UPI on RuPay Credit Card
"Who can apply for a RuPay Credit Card?","Anyone between 23 and 60 years and with a good credit score can apply for the Edge CSB Bank Credit Card.",UPI on RuPay Credit Card
"Is it safe to use my RuPay Credit Card on UPI?","It is absolutely safe to use your RuPay Credit Card on UPI.",UPI on RuPay Credit Card
"Can I withdraw money from UPI Credit Cards?","Currently, ATM withdrawal is not enabled on your Edge RuPay Credit Card.",UPI on RuPay Credit Card
"How can I use my RuPay Card for online payments?","Once you enable online transactions on your Edge RuPay Credit Card, you can use it on any website or app to pay.",UPI on RuPay Credit Card
"How can I pay a retail merchant offline with UPI on Credit Card?","Edge RuPay Credit Card allows you to make UPI payments with a Credit Card. You can scan any QR code and pay with your credit card.",UPI on RuPay Credit Card
"How can I link my Edge CSB Bank Credit Card to UPI?","Once you have activated your credit card on Jupiter, you will be able to use it with Jupiter UPI automatically.",UPI on RuPay Credit Card
"Will I earn rewards on UPI Spends using the Edge CSB Bank RuPay Credit Card?","Yes, you can earn assured 2% cashback on UPI transactions.",UPI on RuPay Credit Card
"How do I generate UPI PIN for my Edge CSB Bank RuPay Credit Card?","You can easily set your Edge UPI Credit Card PIN by going to 'Credit Card' tab on home screen → Choose 'View Card' → Tap 'Settings' gear on top → Tap 'Reset PIN'. Then change your PIN",UPI on RuPay Credit Card
"What is the eligibility criteria for getting the Edge CSB Bank RuPay Credit Card?","Currently users with a good credit score, and who are older than 21 years can be eligible for the Edge RuPay Credit Card.",UPI on RuPay Credit Card
"How can I apply for a Edge Federal Bank Visa Credit Card?","Edge Federal Bank Visa Credit card is available exclusively on the Jupiter app. Download the Jupiter app and apply for a Edge Federal Bank Visa Credit Card.",Edge Federal Bank Visa Credit Card
"How can I check my Edge Federal Bank Visa Credit Card Outstanding Balance?","On the Jupiter app, go to the 'Credit Cards' tab, here, you will be able to see the current outstanding and available limit.",Edge Federal Bank Visa Credit Card
"Can I use my Edge Federal Bank Visa Credit Card for international payments?","Yes, you can do international transactions with your Edge Federal Bank Visa Credit Card.",Edge Federal Bank Visa Credit Card
"How to activate Edge Federal Bank Visa Credit Card?","Activate your card by scanning the QR code on the card kit",Edge Federal Bank Visa Credit Card
"Who is eligible for Edge Federal Bank Visa Credit Card?","Anyone older than 21 years and with a good credit score can apply for the Credit Card.",Edge Federal Bank Visa Credit Card
"What are the fees and charges on the Edge Federal Bank Visa Credit Card?","Edge Federal Bank Visa Credit Card has zero joining fee and zero service charges for transactions. Read MITC at https://jupiter.money/edge-card-mitc/ for more information.",Edge Federal Bank Visa Credit Card
"Can I withdraw money using the Edge Federal Bank Visa Credit Card?","Currently, ATM withdrawals are not enabled on your Edge Federal Bank Visa Credit Card.",Edge Federal Bank Visa Credit Card
"Is Edge Federal Bank Visa Credit Card lifetime free?","Edge Federal Bank Visa Credit Card's annual fee of ₹999 is waived off on eligible spends of ₹1.2 lacs in the preceding year",Edge Federal Bank Visa Credit Card
"What is the credit limit of Edge Federal Bank Visa Credit Card?","Your limit is calculated based on your credit score",Edge Federal Bank Visa Credit Card
"How do I earn Jewels on Jupiter?","You earn Jewels when you spend using Jupiter—whether it's with UPI, your debit card, or linked credit cards. 5 Jewels = 1 Rupee",Jupiter Jewels Rewards
"What can I redeem Jewels for?","You can choose from the following loan options: Digital Gold, Cash credits, Gift vouchers, Bill payments, Credit card discounts",Jupiter Jewels Rewards
"How fast can I redeem Jewels on Jupiter?","Yes, you can redeem the Jewels instantly. You can convert them to cash, gold, vouchers or use them to get discounts on bill payments.",Jupiter Jewels Rewards
"Do I get extra rewards with linked accounts or cards?","Yes! For example: PRO Savings Account users get 1% cashback; Edge CSB Bank RuPay Card users get 2% cashback; Linking any RuPay credit card earns you up to 2% cashback on UPI and spends",Jupiter Jewels Rewards
"Do the earned Jewels expire?","Your Jewels are safe and redeemable directly on the Jupiter app. Expiry terms, if any, are clearly shown under your rewards dashboard.",Jupiter Jewels Rewards
"What types of loans can I get on Jupiter?","You can choose from the following loan options: Personal Loan - Up to ₹5,00,000; Mini Loan - Up to ₹1,00,000; Loan against Mutual Funds - Up to ₹50,00,000",Jupiter Loans
"Who can apply for a Personal Loan on Jupiter?","To apply for a Personal Loan, you must: Be an Indian resident; Be 21 to 60 years old; Be either salaried, business owner, or self-employed",Jupiter Loans
"What are the interest rates applicable on loans with Jupiter?","Personal Loans start at 1.33% per month; Mini Loans have 0% interest If repaid in 45 days; Loans against Mutual Funds start at 10.5% per annum",Jupiter Loans
"Is the loan application process fully digital?","Yes, the entire process, from checking eligibility to receiving funds, is 100% digital on the Jupiter app.",Jupiter Loans
"How do I apply for a loan on Jupiter?","Steps to apply: 1. Check your eligibility 2. Select your preferred loan option 3. Confirm the loan details 4. Get money instantly in your account",Jupiter Loans
"Will I get reminders for my EMI payments?","Yes, Jupiter sends timely EMI reminders so you never miss a due date.",Jupiter Loans
"Is there any support if I face issues?","Yes, you get 24x7 support from our team via the Jupiter app.",Jupiter Loans
"What can I use my loan for?","The loans are flexible and can be used for any purpose, including: Laptop or phone purchase; Medical expenses; Travel, wedding, or home renovation; Debt consolidation or emergencies",Jupiter Loans
"What is a loan against mutual funds?","A Loan Against Mutual Funds lets you borrow money by pledging your Mutual Funds. On Jupiter, you can get a Loan Against Mutual Funds of up to ₹2 Crore",Loan Against Mutual Funds
"How much money can I borrow?","Your loan limit will depend on the amount and type of Mutual Funds in your portfolio",Loan Against Mutual Funds
"Can I choose any date for my monthly loan repayment?","You can repay the principal amount anytime within 36 months and the interest in 12 EMIs",Loan Against Mutual Funds
"Do I need to pay interest on the whole amount I am eligible for?","No, you pay monthly interest only on the withdrawn amount out of the total credit limit given to you",Loan Against Mutual Funds
"What is lien marking/pledging of Mutual Funds?","When you take a Loan Against Mutual Funds, your funds will be lien marked. This means, the lender has the right to hold your units and sell them in case the loan isn't repaid. However, your funds will continue earning returns and will be redeemable once the loan is fully repaid",Loan Against Mutual Funds
"Which mutual fund schemes are accepted or can be pledged to take loans?","Your loan limit can be up to 75% of the Net Asset Value of your Debt Mutual Funds, and 45% of the NAV of Equity Mutual Funds. For example, if you have invested ₹3 Lakh in Debt Mutual Funds and ₹1 Lakh in Equity Mutual Funds, your available loan limit will be 75% of ₹3 Lakhs plus 45% of ₹1 Lakh equal to ₹2.70 Lakh",Loan Against Mutual Funds
"How do I check my limit?","You can check your limit on the Jupiter app",Loan Against Mutual Funds
"Can I pledge any Mutual Fund?","Yes, you can pledge any eligible Mutual Fund. You can also choose the number of units you want to pledge",Loan Against Mutual Funds
"When can I redeem the Mutual Funds I have pledged?","Your Mutual Funds will be redeemable once your loan is fully repaid",Loan Against Mutual Funds
"What is the tenure of the loan against mutual funds?","You can repay the principal amount in up to 36 months and the interest in 12 EMIs",Loan Against Mutual Funds
"What is the credit limit and how is it calculated?","Your credit limit is calculated based on the value of your Mutual Funds portfolio",Loan Against Mutual Funds
"What investment options are available on Jupiter?","You can invest in the following: Mutual Funds, Digital Gold, Magic Spends, Fixed Deposits",Investments
"Do I need to open a Savings Account to Invest on Jupiter?","Yes, you need to open a Savings Account to invest in Mutual Funds, Magic Spends or Fixed Deposits. But, you can start investing in Digital Gold even without opening a Savings Account",Investments
"Is there a fee for investing in Mutual Funds on Jupiter?","No, Jupiter doesn't charge any commissions or extra fees on Mutual Funds",Investments
"How do No-Penalty SIPs work on Jupiter ?","No-Penalty SIPs let you skip SIPs without having to pay any extra charges",Investments
"What is 'Magic Spends' and how does it work?","Magic Spends lets you auto-invest small amounts like ₹10 or more every time you spend, turning your daily spending into effortless investing",Investments
"Can I withdraw from Fixed Deposits before maturity?","Yes, FlexiFD lets you withdraw money in parts without having to break your full FD",Investments
"Is my money safe when I invest on Jupiter?","Yes. Jupiter partners with trusted AMCs, RBI-regulated entities, and SEBI-compliant platforms to ensure your investments are 100% safe",Investments
"Am I eligible to invest on Jupiter?","We're currently open to folks who have Mutual Fund investment accounts already. If you've invested in Mutual Funds in India, or have signed up to invest on another platform before, you're eligible! Go ahead and sign up on the Jupiter app to get started. In a few weeks, everyone else will also be able to invest on Jupiter — hang in there, and watch this space for updates",Investments
"How do I pay less and earn more using the Jupiter App?","On Jupiter, you pay less and earn more on your investments because: 1. Jupiter doesn't charge any hidden commissions of 1.5% over and above your investment amount like other regular funds. 2. Jupiter doesn't charge Penalties of up to Rs 750 that other banks charge in case you miss a SIP because of insufficient balance in your account",Investments
"What's the difference between a No-Penalty SIP and a Normal SIP?","In case you miss a SIP because of insufficient balance in your account, your bank charges you ₹250–₹750 as Penalty for that missed SIP. Jupiter just smartly skips your SIP! So, there are no Penalty charges",Investments
"What all Mutual Funds does Jupiter have?","Jupiter has 1000+ Mutual Funds from 39 major AMCs across India. Jupiter only provides growth Direct Mutual Funds which are the best commission-free funds in India",Investments
"What are Mutual Funds?","Mutual fund is an investment vehicle that brings together money from many people like you and invests it in stocks, bonds or other assets. Example: ICICI Prudential Technology Fund invests your money, majorly in high growth technology companies like Infosys, Wipro, HCL Technologies, etc.",Investments
"Why should I invest with Jupiter Money?","Pay less, earn more returns: 1. No hidden commissions of 1.5% like regular funds 2. No penalties up to Rs 750 for missed SIPs. Easy investing: - No-Penalty SIPs auto-skip if funds are low - One-click SIPs and cancellations - No paperwork",Investments
"What are Direct Mutual Funds which Jupiter provides?","Direct Mutual Funds are Mutual Funds with Zero Commissions or Brokerage charges. They offer up to 1.5% extra returns compared to other Mutual Funds",Investments
"Why should I invest in Mutual Funds?","You can invest in Mutual funds as: 1. You can save up to Rs 46,800 in taxes every year. 2. Your invested money compounds and generates more returns. 3. You build financial discipline.",Investments
"Are Mutual Funds regulated?","Mutual Fund companies are regulated by Securities and Exchange Board of India (SEBI). SEBI falls under the control of the Ministry of Finance of India.",Investments
"I don't know what Mutual Funds to invest in. What do I do?","We've created Mutual Fund collections to help you: - High Growth - Tax Saving Funds - Better than FD - Low cost index funds - SIP with 500. These are matched to your investment goals.",Investments
"What is the smallest amount I can invest in Mutual Funds?","You can start investing in Mutual Funds with as little as Rs. 500. We've put together a Collection containing all Mutual Funds where you can start investing with Rs 500.",Investments
"Is investing in Mutual Funds difficult?","Investing in Mutual Funds is simple on Jupiter: - Pick a fund or collection - Choose SIP or One Time investment - Swipe to pay. That's it!",Investments
"How long does it take to get started with Mutual Funds on Jupiter?","If you're a verified user on the Jupiter app, you can make your investment in under 5 minutes",Investments
"I've never been charged a Penalty before. Why should I choose No-Penalty SIPs?","Even if you're disciplined, No-Penalty SIP gives you flexibility. If you have an emergency or want to use your money elsewhere, just skip your SIP — no charges, no questions asked.",Investments
"How is Jupiter not charging the Rs. 250-750 Penalty? Is there any catch or fine-print?","Banks charge this penalty when your SIP mandate fails due to insufficient balance. Since you bank and invest on Jupiter, we detect low balance and pause your SIP, avoiding penalty fees completely.",Investments
"Do you mean I don't get same day's NAV elsewhere?","Most platforms take a few working days to allocate units after order placement, and the NAV can change. On Jupiter, if you invest before 2 PM on working days, you get that day's NAV.",Investments
"What is Digital Gold on Jupiter?","Digital Gold on Jupiter allows you to buy and sell 24K gold online at live market prices, starting from as low as ₹10. It's 100% digital and secure with no making charges.",Digital Gold
"How is my Digital Gold stored?","Every gram of Digital Gold you purchase is stored as 24K physical Gold in lifetime-free vaults by our trusted partners.",Digital Gold
"Can I start investing in Gold with just ₹10?","Yes, you can purchase 24K Digital Gold with just ₹10 or more. You can either make a one-time investment or invest regularly with daily, weekly, and monthly SIPs.",Digital Gold
"Can I sell my Digital Gold anytime?","Yes, you can instantly sell your Digital Gold at live market prices from the Jupiter app.",Digital Gold
"Can I get physical delivery of the gold?","Currently, Jupiter offers only digital storage of gold. Physical delivery is not available.",Digital Gold
"How is the price of Digital Gold determined?","Prices are updated live and reflect the current market rate of 24K gold with no making charges.",Digital Gold
"Why should I invest in Digital Gold?","Digital Gold lets you invest in 24K pure gold without worrying about storage or safety. Unlike traditional options, you can start small, track your gold value in real time, and sell it anytime you want. It's a smart way to grow your savings and with Jupiter, the process is completely digital.",Digital Gold
"Can I set up automatic investments in Digital Gold?","Yes, you can set up a daily, weekly, or monthly SIP to auto-invest in Digital Gold. You can also set up Magic Spends, a feature exclusively on Jupiter, to auto-invest in Gold every time you spend.",Digital Gold
"What is Magic Spends and how does it work?","Magic Spends is an exclusive feature on Jupiter to automatically invest every time you spend. You can select any amount, set a monthly limit, and invest in either Mutual Funds or Digital Gold with every UPI, Debit Card, and Credit Card payment.",Magic Spends
"Where can I invest with Magic Spends?","You can invest in a Mutual Fund of your choice or 24K Digital Gold every time you spend.",Magic Spends
"Can I customize how much money I auto-invest every time I spend?","Yes, you can auto-invest ₹10 or more in Digital Gold or ₹100 or more in Mutual Funds every time you spend with Magic Spends.",Magic Spends
"Can I track my invested amount with Magic Spends?","Yes, you can track the value of your invested amount in real-time for both Mutual Funds and Digital Gold.",Magic Spends
"What happens if I don't have enough balance in my account?","If you don't have enough balance while spending, Magic Spends will be skipped. You can continue auto-investing after you add money to your account.",Magic Spends
"Can I pause Magic Spends or withdraw my invested amount?","Yes, you can pause Magic Spends anytime through the app. You can also withdraw the money you've invested and it will be credited instantly to your account.",Magic Spends
"Are there any fees or charges for Magic Spends?","No, Magic Spends is completely free to set up and Jupiter does not charge any commissions.",Magic Spends
"What can I do in the Money tab on Jupiter?","You can track your income, expenses, top categories, upcoming bills, and get smart insights on where your money goes — all in one place.",Money Tab
"How does Jupiter categorize my spending?","Jupiter auto-categorizes your transactions (like groceries, food, shopping, etc.) using smart tags so you can understand your spending patterns at a glance.",Money Tab
"Can I track my credit card expenses in the Money tab?","Yes, you can link your credit cards and view all your spends, dues, and statements in one place, even if they're from other banks.",Money Tab
"What is Account Aggregator and how does it work?","Account Aggregator (AA) is a secure framework regulated by the RBI that lets you link and track balances and payments from all your bank accounts. Rest assured, you stay in control and choose what to share and for how long.",Money Tab
"Is it safe to link my accounts through Account Aggregator?","Yes, it's completely safe. Jupiter only accesses your data with your consent via licensed Account Aggregators like Finvu, and cannot access it without your permission.",Money Tab
"Can I set Budgets in the Money tab?","Yes, you can set a monthly Budgets to control overspending and manage your money better every month. Jupiter lets you know when you're about to cross your monthly Budget so you can plan your expenses better!",Money Tab
"What is Net Worth in Jupiter and how is it calculated?","Your Net Worth on Jupiter is the difference between what you own and what you owe. It includes all your linked bank balances, investments (like FDs or mutual funds), and credit card dues or loans. When you link external accounts using Account Aggregator, we give you a real-time, 360° view of your true net worth in one simple number.",Money Tab
